"","stream","start_date","end_date","mean_temp","sd_temp","deployment","days_in_record"
"143","WS32",2017-10-19,2017-12-18,9.45759170081967,2.69498421345209,"2b",61
"144","WS32",2017-11-15,2018-01-05,6.90551221955128,2.57302962609985,"3",52
"145","WS32",2017-12-11,2018-02-08,5.4079151754386,2.14942686634247,"4a",60
"146","WS32",2017-12-18,2018-02-08,5.48093423949024,2.27356289281058,"4b",53
"147","WS32",2018-01-11,2018-03-08,7.97710138484526,2.64025132265986,"5",57
"148","WS32",2018-02-08,2018-04-06,9.90992844930615,1.88859286096504,"6",58
"149","WS32",2018-03-08,2018-05-09,10.310177514176,1.8827642574208,"7",63
"150","WS32",2018-04-06,2018-06-06,12.3004152032517,1.88554305080061,"8",62
"151","WS32",2018-05-09,2018-07-05,14.5251223060345,0.787218103368504,"9",58
"152","WS32",2018-06-06,2018-08-03,15.5334537429379,0.771784291786947,"10",59
"153","WS32",2018-07-05,2018-08-31,16.0063661997126,0.311451363664961,"11",58
"154","WS32",2018-08-03,2018-09-28,16.3046778276993,0.479689781318948,"12",57
"155","WS36",2017-09-21,2017-11-15,13.1160984933036,2.1861742446625,"1",56
"156","WS36",2017-10-19,2017-12-11,10.0306865354938,1.86311573354175,"2a",54
"157","WS36",2017-10-19,2017-12-18,9.56517947404372,2.18998463921123,"2b",61
"158","WS36",2017-11-15,2018-01-05,7.33716306089743,2.09239966042165,"3",52
"159","WS36",2017-12-11,2018-02-08,5.49095121527778,1.54670375360212,"4a",60
"160","WS36",2017-12-18,2018-02-08,5.44417826257862,1.63703404179377,"4b",53
"161","WS36",2018-01-11,2018-03-08,7.41097938264222,2.49583581849904,"5",57
"162","WS36",2018-02-08,2018-04-06,9.52001653253654,1.90573704034999,"6",58
"163","WS36",2018-03-08,2018-05-09,9.92694842148866,1.8016085510102,"7",63
"164","WS36",2018-04-06,2018-06-06,11.8001283502937,2.00288577045471,"8",62
"165","WS36",2018-05-09,2018-07-05,14.3976260775862,0.957967489486707,"9",58
"166","WS36",2018-06-06,2018-08-03,15.593261299435,0.750711132972597,"10",59
"167","WS36",2018-07-05,2018-08-31,15.9486438577586,0.329737838831878,"11",58
"168","WS36",2018-08-03,2018-09-28,16.1357385852452,0.447737100788267,"12",57
