"","stream","start_date","end_date","mean_nh4.mgl","sd_nh4.mgl","N_nh4.mgl","mean_no3.mgl","sd_no3.mgl","N_no3.mgl","mean_po4.mgl","sd_po4.mgl","N_po4.mgl","mean_din.mgl","sd_din.mgl","N_din.mgl","deployment"
"152","WS17",2019-05-08,2019-07-10,0.00288888888888889,0.00280376730687679,9,0.128071114888889,0.0112810988695088,9,0.00426267311111111,0.00100908053749694,9,0.130960003777778,0.0111849799636373,9,9
"153","WS17",2019-06-05,2019-08-07,0.00222222222222222,0.00097182531580755,9,0.143216231666667,0.0189354021680323,9,0.00398717788888889,0.000956087626569532,9,0.145438453888889,0.0192242980333804,9,10
"154","WS17",2019-07-10,2019-08-30,0.00228571428571429,0.000755928946018455,7,0.170848327714286,0.0217545128907833,7,0.00463474642857143,0.00192557091039635,7,0.173134042,0.0220664925519175,7,11
"155","WS18",2018-08-31,2018-11-02,0.0146973904444444,0.0387499545056284,9,0.0202740227777778,0.0127711412409095,9,0.00325646077777778,0.00271433754612487,9,0.0349714132222222,0.0488097258480138,9,1
"156","WS18",2018-09-28,2018-12-05,0.0128276514,0.0369580918248328,10,0.01097,0.0147806216979455,10,0.0030812093,0.00261156291958594,10,0.0237976514,0.0496764312068443,10,2
"157","WS18",2018-11-02,2019-01-07,0.00155555555555556,0.000881917103688197,9,0.00144758955555556,0.00118866704429027,9,0.00196365755555556,4.00749440052981e-05,9,0.00300314511111111,0.00192049386239975,9,3
"158","WS18",2018-12-05,2019-02-06,0.00188888888888889,0.000600925212577332,9,0.00193566355555556,0.00112469346682942,9,0.00199730855555556,4.29472143424667e-05,9,0.00382455244444444,0.00159861616541582,9,4
"159","WS18",2019-01-07,2019-03-06,0.002,0.000707106781186548,9,0.00182205788888889,0.000922539460305689,9,0.00201338488888889,5.2576259034959e-05,9,0.00382205788888889,0.000968342426944679,9,5
"160","WS18",2019-02-06,2019-04-03,0.00242857142857143,0.00139727626201154,7,0.00247224785714286,0.0012746326245637,7,0.002007064,4.8165691904785e-05,7,0.00490081928571429,0.00209511457670145,7,6
"161","WS18",2019-03-06,2019-05-08,0.0025,0.00160356745147455,8,0.006604839375,0.00333030816230339,8,0.001884830625,0.000746352928910778,8,0.009104839375,0.00341154925408493,8,7
"162","WS18",2019-04-03,2019-06-05,0.00211111111111111,0.00116666666666667,9,0.0162422125555556,0.0127653577041632,9,0.00248278422222222,0.00128724597005669,9,0.0183533236666667,0.0125132075639087,9,8
"163","WS18",2019-05-08,2019-07-10,0.00135009711111111,0.000489853432033615,9,0.0275367016666667,0.0105037970397749,9,0.00326656688888889,0.000817651140310531,9,0.0288867987777778,0.0104749293644043,9,9
"164","WS18",2019-06-05,2019-08-07,0.00146120822222222,0.000716619297959833,9,0.0330025463333333,0.00962681980558759,9,0.00296319888888889,0.000740820339577425,9,0.0344637545555556,0.0101971383997507,9,10
"165","WS18",2019-07-10,2019-08-30,0.00242857142857143,0.000975900072948533,7,0.0366814825714286,0.0145508957556645,7,0.00234576657142857,0.000761150420880318,7,0.039110054,0.0144905266527193,7,11
"166","WS27",2018-08-31,2018-11-02,0.00157419755555556,0.00071246262726811,9,0.0646243318888889,0.0224901746600554,9,0.00209183155555556,0.000239557269650762,9,0.0661985294444444,0.0224212429674944,9,1
"167","WS27",2018-09-28,2018-12-05,0.0036171864,0.00421021100963738,10,0.04462,0.0125616524036892,10,0.0017915812,0.000631796563182731,10,0.0482371864,0.0123629495588456,10,2
"168","WS27",2018-11-02,2019-01-07,0.00524131822222222,0.00438934099374706,9,0.0411918096666667,0.0105405550522276,9,0.00174626588888889,0.000655939672170666,9,0.0464331278888889,0.0119892875681151,9,3
"169","WS27",2018-12-05,2019-02-06,0.00333333333333333,0.00269258240356725,9,0.0530545215555556,0.0132325302449335,9,0.00198295633333333,5.22273368577223e-05,9,0.0563878548888889,0.0131623032185258,9,4
"170","WS27",2019-01-07,2019-03-06,0.00333333333333333,0.0038405728739343,9,0.0687506911111111,0.039395861647898,9,0.00214203255555556,0.00038387356160724,9,0.0720840244444445,0.0400252535956611,9,5
"171","WS27",2019-02-06,2019-04-03,0.00428571428571429,0.00407080195679286,7,0.0734054185714286,0.0436122354774279,7,0.00234676257142857,0.000503013609373165,7,0.0776911328571429,0.0439839383850791,7,6
"172","WS27",2019-03-06,2019-05-08,0.00325,0.00265921578128375,8,0.078423227125,0.0317083056339985,8,0.002028061875,0.000860360883756252,8,0.081673227125,0.0336933173508877,8,7
"173","WS27",2019-04-03,2019-06-05,0.00511111111111111,0.00541858940233629,9,0.086951363,0.0279448512027474,9,0.00277380377777778,0.00157543177432504,9,0.0920624741111111,0.0294111129652518,9,8
"174","WS27",2019-05-08,2019-07-10,0.00522222222222222,0.0059113826169894,9,0.081481772,0.0126584881500709,9,0.00359716977777778,0.00102580073641909,9,0.0867039942222222,0.0104011418094327,9,9
"175","WS27",2019-06-05,2019-08-07,0.00588888888888889,0.00903388682191177,9,0.0836594485555556,0.015987934717806,9,0.00350793744444444,0.000865295244329372,9,0.0895483374444444,0.0157377135582278,9,10
"176","WS27",2019-07-10,2019-08-30,0.00728571428571429,0.00962140470884728,7,0.0923651191428571,0.0234391483743861,7,0.00430384642857143,0.00207154643585904,7,0.0996508334285714,0.0220542632838342,7,11
"177","WS31",2018-08-31,2018-11-02,0.00122222222222222,0.000666666666666667,9,0.000815058666666667,0.000373088561276006,9,0.00194670544444444,4.57896629767874e-05,9,0.00203728088888889,0.000953968388190149,9,1
"178","WS31",2018-09-28,2018-12-05,0.0011,0.000875595035770913,10,0.00047,0.000434741302385683,10,0.0019827288,6.05009085070445e-05,10,0.00157,0.00103607164059463,10,2
"179","WS31",2018-11-02,2019-01-07,0.00155555555555556,0.000881917103688197,9,0.000309983222222222,0.000335990226842157,9,0.00189088988888889,0.000233321223133711,9,0.00186553877777778,0.00110709097753231,9,3
"180","WS31",2018-12-05,2019-02-06,0.002,0.000707106781186548,9,0.000582807666666667,0.000351798442752381,9,0.001881789,0.000227602381383082,9,0.00258280766666667,0.000861781958689668,9,4
"181","WS31",2019-01-07,2019-03-06,0.00255555555555556,0.00150923085635624,9,0.000712028111111111,0.000384618624401967,9,0.00201049466666667,4.49673848583615e-05,9,0.00326758366666667,0.00161224769347819,9,5
"182","WS31",2019-02-06,2019-04-03,0.002375,0.00159798980865694,8,0.00057281275,0.000400558910410994,8,0.00200068475,6.14825168965014e-05,8,0.00294781275,0.0017682494000309,8,6
"183","WS31",2019-03-06,2019-05-08,0.002,5e-04,9,0.000576612888888889,0.00025755757621571,9,0.00197877044444444,8.78938942249562e-05,9,0.00257661288888889,0.000634152115084473,9,7
"184","WS31",2019-04-03,2019-06-05,0.00222222222222222,0.000666666666666667,9,0.00137893377777778,0.000887319542005271,9,0.00198007077777778,9.67662447961294e-05,9,0.003601156,0.0010373643406152,9,8
"185","WS31",2019-05-08,2019-07-10,0.00244444444444444,0.000726483157256779,9,0.00311545588888889,0.00134627994353417,9,0.002292522,0.000532887857800776,9,0.00555990033333333,0.00140422499096521,9,9
"186","WS31",2019-06-05,2019-08-07,0.00255555555555556,0.00052704627669473,9,0.00365746555555556,0.00106085472243624,9,0.00237161466666667,0.000542006610393499,9,0.00621302111111111,0.00100502192784467,9,10
"187","WS31",2019-07-10,2019-08-30,0.00285714285714286,0.000899735410842437,7,0.00378608471428571,0.0016205807521229,7,0.00211347557142857,0.000291381282166429,7,0.00664322757142857,0.00233279418047048,7,11
"188","WS32",2018-08-31,2018-11-02,0.00135943022222222,0.000482888639314174,9,0.00163748533333333,0.00126320420589933,9,0.00201219511111111,3.75611351280963e-05,9,0.00299691555555556,0.00164774526929499,9,1
"189","WS32",2018-09-28,2018-12-05,0.0016100409,0.000690296471778845,10,7e-04,0.00077028133388609,10,0.002093664,0.000322781851900698,10,0.0023100409,0.000760738031311473,10,2
"190","WS32",2018-11-02,2019-01-07,0.00288888888888889,0.00136422546197874,9,0.000435147444444444,0.000410134015486131,9,0.00209270966666667,0.000346870153147759,9,0.00332403633333333,0.00140855462545157,9,3
"191","WS32",2018-12-05,2019-02-06,0.00288888888888889,0.00145296631451356,9,0.000640148222222222,0.000246093213632953,9,0.00201718144444444,6.74820925822383e-05,9,0.00352903711111111,0.00136835687467227,9,4
"192","WS32",2019-01-07,2019-03-06,0.00233333333333333,0.001,9,0.000685724666666667,8.12836082829742e-05,9,0.002030038,5.85070227814576e-05,9,0.003019058,0.00100166624929439,9,5
"193","WS32",2019-02-06,2019-04-03,0.002125,0.0011259916264596,8,0.000753586,0.000159256874811015,8,0.00199758925,7.97213845191041e-05,8,0.002878586,0.00109200793202391,8,6
"194","WS32",2019-03-06,2019-05-08,0.00211111111111111,0.00105409255338946,9,0.00123101555555556,0.000405863490507003,9,0.00198824911111111,6.70232873567919e-05,9,0.00334212666666667,0.00130827487369771,9,7
