"","bag_ID","rhodo_acer","DM_start_g","DM_end_g","tin_g","tin_DM_g","tin_ash_g","date_dep","date_coll","stream","QC","hole","notes","unique.id","DM_start_handloss_g","afdm_start","prop_sample_afdm","afdm_final","percent_afdm_rem_C","bag_n"
"55","C0055","A",5.07,2.41,2.0232,3.7169,2.4002,2017-09-21,2017-11-15,"WS02","","","","C0055/A/2017-09-21/2017-11-15/WS02",4.7175,4.49352632938336,0.777410403259137,1.87355907185452,41.694627660313,"0055"
"56","C0056","A",5.09,1.42,1.7484,2.9209,1.903,2017-09-21,2017-11-15,"WS02","","","","C0056/A/2017-09-21/2017-11-15/WS02",4.7375,4.51257678546978,0.868144989339019,1.23276588486141,27.3184467205265,"0056"
"57","C0057","A",5.06,1.92,1.753,3.3205,1.9871,2017-09-21,2017-11-15,"WS02","","","","C0057/A/2017-09-21/2017-11-15/WS02",4.7075,4.48400110134015,0.850653907496013,1.63325550239234,36.4240655941009,"0057"
"58","C0058","A",5.04,1.87,1.9395,3.3751,2.1755,2017-09-21,2017-11-15,"WS18","","","","C0058/A/2017-09-21/2017-11-15/WS18",4.6875,4.46495064525374,0.83560880468097,1.56258846475341,34.9967690329221,"0058"
"59","C0059","A",5.05,1.89,2.0599,3.4516,2.2575,2017-09-21,2017-11-15,"WS18","","","","C0059/A/2017-09-21/2017-11-15/WS18",4.6975,4.47447587329694,0.858015376877201,1.62164906229791,36.2422126796054,"0059"
"60","C0060","A",4.99,1.93,3.6393,4.9725,3.775,2017-09-21,2017-11-15,"WS18","","","","C0060/A/2017-09-21/2017-11-15/WS18",4.6375,4.4173245050377,0.898214821482148,1.73355460546055,39.2444477077364,"0060"
"61","C0061","A",4.9,2.11,2.0132,3.7846,2.2664,2017-09-21,2017-11-15,"WS18","","","","C0061/A/2017-09-21/2017-11-15/WS18",4.5475,4.33159745264882,0.857062210680817,1.80840126453652,41.7490610405329,"0061"
"62","C0062","A",4.94,2.5,2.1305,4.0198,2.3736,2017-09-21,2017-11-15,"WS07","","","","C0062/A/2017-09-21/2017-11-15/WS07",4.5875,4.36969836482166,0.871328005081247,2.17832001270312,49.8505807686802,"0062"
"63","C0063","A",5.09,2.36,1.7491,3.0903,2.0105,2017-09-21,2017-11-15,"WS07","","","","C0063/A/2017-09-21/2017-11-15/WS07",4.7375,4.51257678546978,0.805099910527886,1.90003578884581,42.1053397908665,"0063"
"64","C0064","A",5.07,2.42,2.1082,3.7891,2.3461,2017-09-21,2017-11-15,"WS07","","","","C0064/A/2017-09-21/2017-11-15/WS07",4.7175,4.49352632938336,0.8584686774942,2.07749419953596,46.2330483289068,"0064"
"65","C0065","A",5.07,2.39,1.773,3.0769,2.0484,2017-09-21,2017-11-15,"WS07","","","","C0065/A/2017-09-21/2017-11-15/WS07",4.7175,4.49352632938336,0.788787483702738,1.88520208604954,41.9537340578629,"0065"
"66","C0066","A",5.05,2.9,2.0272,4.0036,2.2105,2017-09-21,2017-11-15,"WS32","","","","C0066/A/2017-09-21/2017-11-15/WS32",4.6975,4.47447587329694,0.90725561627201,2.63104128718883,58.8011056868251,"0066"
"67","C0067","A",4.95,2.89,2.019,3.6305,2.1778,2017-09-21,2017-11-15,"WS32","","","","C0067/A/2017-09-21/2017-11-15/WS32",4.5975,4.37922359286486,0.901458268693764,2.60521439652498,59.4903261109959,"0067"
"68","C0068","A",4.93,3.26,3.6555,5.2183,3.8178,2017-09-21,2017-11-15,"WS32","","","","C0068/A/2017-09-21/2017-11-15/WS32",4.5775,4.36017313677845,0.896147939595598,2.92144228308165,67.002896248294,"0068"
"69","C0069","A",4.92,2.51,2.065,3.0565,2.1955,2017-09-21,2017-11-15,"WS32","","","","C0069/A/2017-09-21/2017-11-15/WS32",4.5675,4.35064790873524,0.868381240544629,2.17963691376702,50.0991337265132,"0069"
"70","C0070","A",4.93,2.11,3.6289,4.9895,3.8865,2017-09-21,2017-11-15,"WS36","","","","C0070/A/2017-09-21/2017-11-15/WS36",4.5775,4.36017313677845,0.810671762457739,1.71051741878583,39.2304930361013,"0070"
"71","C0071","A",4.99,2.27,1.7373,3.0655,1.9168,2017-09-21,2017-11-15,"WS36","","","","C0071/A/2017-09-21/2017-11-15/WS36",4.6375,4.4173245050377,0.864854690558651,1.96322014756814,44.4436478535639,"0071"
