bag_ID,rhodo_acer,DM_start_g,DM_end_g,tin_g,tin_DM_g,tin_ash_g,date_dep,date_coll,stream,QC,hole,notes
F0090,A,1.44,0.8919,3.5954,4.4873,3.6911,12/11/17,2/8/18,WS18,,,
F0091,A,1.42,0.9350,3.5245,4.4595,3.688,12/11/17,2/8/18,WS18,,,
F0092,A,1.42,0.9067,1.7832,2.6899,1.9215,12/11/17,2/8/18,WS18,,,
F0093,A,1.45,0.9197,3.6023,4.522,3.7318,12/11/17,2/8/18,WS07,,,
F0094,A,1.49,0.9908,3.5413,4.5321,3.7227,12/11/17,2/8/18,WS07,,,
F0095,A,1.45,0.9031,3.6492,4.5523,3.8019,12/11/17,2/8/18,WS07,,,
F0096,A,1.45,0.8067,1.7538,2.5605,1.8861,12/11/17,2/8/18,WS07,,,
F0097,R,1.4,1.3224,3.516,4.8384,3.6049,1/11/18,3/8/18,WS01,,,
F0098,R,1.55,1.4889,3.5323,5.0212,3.6509,1/11/18,3/8/18,WS01,,,
F0099,R,1.42,1.3788,3.5297,4.9085,3.7127,1/11/18,3/8/18,WS01,,,
F0100,R,1.43,1.3076,2.0384,3.346,2.1344,1/11/18,3/8/18,WS01,,,
F0101,R,1.59,1.4795,2.0377,3.5172,2.1114,1/11/18,3/8/18,WS13,,,
F0102,R,1.42,1.3053,2.0132,3.3185,2.0918,1/11/18,3/8/18,WS13,,,
F0103,R,1.59,1.5264,2.1435,3.6699,2.2333,1/11/18,3/8/18,WS13,,,
F0104,R,1.6,1.3679,1.7598,3.1277,1.8531,1/11/18,3/8/18,WS13,,,
F0105,R,1.58,NA,NA,NA,NA,1/11/18,3/8/18,WS08,,,
F0106,R,1.45,1.2454,1.7497,2.9951,1.8204,1/11/18,3/8/18,WS08,,,
F0107,R,1.44,1.2423,2.0771,3.3194,2.1456,1/11/18,3/8/18,WS08,,,
F0108,R,1.44,1.2698,2.11,3.3798,2.197,1/11/18,3/8/18,WS08,,,
F0109,R,1.58,1.5379,1.7479,3.2858,1.8484,1/11/18,3/8/18,WS02,,,
F0110,R,1.49,1.4446,1.7413,3.1859,1.8316,1/11/18,3/8/18,WS02,,,
F0111,R,1.45,1.4040,1.7566,3.1606,1.8401,1/11/18,3/8/18,WS02,,,
F0112,R,1.46,1.3967,2.0951,3.4918,2.173,1/11/18,3/8/18,WS02,,,
F0113,R,1.44,1.3505,3.5263,4.8768,3.6536,1/11/18,3/8/18,WS07,,,
F0114,R,1.44,1.2864,2.1425,3.4289,2.2463,1/11/18,3/8/18,WS07,,,
F0115,R,1.55,1.4883,3.5293,5.0176,3.6447,1/11/18,3/8/18,WS07,,,
F0116,R,1.5,1.4001,2.0984,3.4985,2.218,1/11/18,3/8/18,WS07,,,
F0117,R,1.41,1.3386,3.5235,4.8621,3.5958,1/11/18,3/8/18,WS32,,,
F0118,R,1.45,1.3200,2.0084,3.3284,2.0642,1/11/18,3/8/18,WS32,,,
F0119,R,1.43,1.3267,3.6108,4.9375,3.6694,1/11/18,3/8/18,WS32,,,
F0120,R,1.48,1.3957,3.6613,5.057,3.7396,1/11/18,3/8/18,WS32,,,
F0121,R,1.44,1.3407,1.7407,3.0814,1.7986,1/11/18,3/8/18,WS31,,,
F0122,R,1.46,1.3735,3.5308,4.9043,3.5999,1/11/18,3/8/18,WS31,,,
F0123,R,1.42,1.3419,1.9741,3.316,2.0497,1/11/18,3/8/18,WS31,,,
F0124,R,1.49,1.4279,2.0388,3.4667,2.1162,1/11/18,3/8/18,WS31,,,
F0125,R,1.56,1.3735,1.7681,3.1416,1.8369,1/11/18,3/8/18,WS06,,,
F0126,R,1.5,1.3844,3.5253,4.9097,3.6109,1/11/18,3/8/18,WS06,,,
F0127,R,1.53,1.3665,1.7628,3.1293,1.8298,1/11/18,3/8/18,WS06,,,
F0128,R,1.43,1.2222,3.6178,4.84,3.6653,1/11/18,3/8/18,WS06,,,
F0129,R,1.54,1.3151,3.5176,4.8327,3.5941,1/11/18,3/8/18,WS36,,,
F0130,R,1.56,1.46,2.0045,3.4645,2.0915,1/11/18,3/8/18,WS36,,,
F0131,R,1.51,1.2874,3.6866,4.974,3.7515,1/11/18,3/8/18,WS36,,,
F0132,R,1.42,1.3404,2.0375,3.3779,NA,1/11/18,3/8/18,WS36,,,
F0133,R,1.5,1.4165,2.0138,3.4303,2.1087,1/11/18,3/8/18,WS14,,,
F0134,R,1.5,1.4468,3.5518,4.9986,3.662,1/11/18,3/8/18,WS14,,,
F0135,R,1.42,1.3121,3.5454,4.8575,3.627,1/11/18,3/8/18,WS14,,,
F0136,R,1.48,1.3998,3.525,4.9248,3.6116,1/11/18,3/8/18,WS14,,,
F0137,R,1.56,1.3615,2.0161,3.3776,2.1296,1/11/18,3/8/18,WS18,,,
F0138,R,1.5,1.405,2.1222,3.5272,2.188,1/11/18,3/8/18,WS18,,,
F0139,R,1.48,1.4406,1.9962,3.4368,2.1274,1/11/18,3/8/18,WS18,,,
F0140,R,1.56,1.4602,1.7552,3.2154,1.8381,1/11/18,3/8/18,WS18,,,
F0141,R,1.46,1.3255,3.5246,4.8501,3.588,1/11/18,3/8/18,WS27,,,
F0142,R,1.57,1.464,1.7375,3.2015,1.8159,1/11/18,3/8/18,WS27,,,
F0143,R,1.45,1.3781,3.5124,4.8905,3.5848,1/11/18,3/8/18,WS27,,,
F0144,R,1.5,1.4219,3.5316,4.9535,3.6292,1/11/18,3/8/18,WS27,,,
F0145,A,1.57,0.9307,1.9407,2.8714,2.0283,1/11/18,3/8/18,WS31,,,
F0146,A,1.6,1.0084,1.7399,2.7483,1.8279,1/11/18,3/8/18,WS31,,,
F0147,A,1.59,1.0045,2.0606,3.0651,2.1489,1/11/18,3/8/18,WS31,,,
F0148,A,1.55,0.968,2.1744,3.1424,2.3552,1/11/18,3/8/18,WS31,,,
F0149,A,1.57,0.936,1.7527,2.6887,1.8676,1/11/18,3/8/18,WS36,,,
F0150,A,1.5,0.8607,2.0807,2.9414,2.1579,1/11/18,3/8/18,WS36,,,
F0151,A,1.44,0.9384,1.7286,2.667,1.8918,1/11/18,3/8/18,WS36,,,
F0152,A,1.51,0.966,2.1574,3.1234,2.2775,1/11/18,3/8/18,WS36,,,
F0153,A,1.48,1.0394,1.7421,2.7815,2.0089,1/11/18,3/8/18,WS06,,,
F0154,A,1.59,1.1859,1.7483,2.9342,2.0355,1/11/18,3/8/18,WS06,,,
F0155,A,1.5,1.0583,2.056,3.1143,2.3168,1/11/18,3/8/18,WS06,,,
F0156,A,1.55,0.9374,2.1488,3.0862,2.2753,1/11/18,3/8/18,WS06,,,
F0157,A,1.48,1.0405,1.7809,2.8214,2.1512,1/11/18,3/8/18,WS14,,,
F0158,A,1.53,1.0041,1.75,2.7541,1.978,1/11/18,3/8/18,WS14,,,
F0159,A,1.47,0.9347,3.6431,4.5778,3.8251,1/11/18,3/8/18,WS14,,,
F0160,A,1.6,0.8326,2.0262,2.8588,2.1627,1/11/18,3/8/18,WS14,,,
F0161,A,1.47,0.8965,2.0595,2.956,2.309,1/11/18,3/8/18,WS18,,,
F0162,A,1.58,1.2133,2.0563,3.2696,2.2961,1/11/18,3/8/18,WS18,,,
F0163,A,1.52,1.0786,1.7507,2.8293,2.0129,1/11/18,3/8/18,WS18,,,
F0164,A,1.42,1.0687,2.0628,3.1315,2.2721,1/11/18,3/8/18,WS18,,,
F0165,A,1.42,0.9705,3.5327,4.5032,3.6925,1/11/18,3/8/18,WS27,,,
F0166,A,1.58,NA,NA,NA,NA,1/11/18,3/8/18,WS27,,,
F0167,A,1.45,0.8174,2.0676,2.885,2.1627,1/11/18,3/8/18,WS27,,,
F0168,A,1.49,0.8476,3.5357,4.3833,3.6223,1/11/18,3/8/18,WS27,,,
F0169,A,1.47,0.9067,2.0492,2.9559,2.1575,1/11/18,3/8/18,WS13,,,
F0170,A,1.45,0.9432,2.0697,3.0129,2.1953,1/11/18,3/8/18,WS13,,,
F0171,A,1.44,0.9265,2.0139,2.9404,2.1441,1/11/18,3/8/18,WS13,,,
F0172,A,1.42,1.0383,2.0836,3.1219,2.2884,1/11/18,3/8/18,WS13,,,
F0173,A,1.4,0.9111,2.0053,2.9164,2.2132,1/11/18,3/8/18,WS08,,,
F0174,A,1.59,1.1793,3.5478,4.7271,3.8608,1/11/18,3/8/18,WS08,,,
F0175,A,1.56,0.8996,3.5295,4.4291,3.6924,1/11/18,3/8/18,WS08,,,
F0176,A,1.56,0.7775,2.0681,2.8456,NA,1/11/18,3/8/18,WS08,,,
F0177,A,1.41,0.9781,3.508,4.4861,3.7608,1/11/18,3/8/18,WS01,,,
F0178,A,1.4,0.945,1.8763,2.8213,NA,1/11/18,3/8/18,WS01,,,
F0179,A,1.44,0.9623,3.5233,4.4856,3.6958,1/11/18,3/8/18,WS01,,,
F0180,A,1.44,0.9809,1.7522,2.7331,2.0717,1/11/18,3/8/18,WS01,,,
F0181,A,1.43,0.9781,2.0984,3.0765,2.243,1/11/18,3/8/18,WS02,,,
F0182,A,1.51,1.0663,2.1229,3.1892,2.2695,1/11/18,3/8/18,WS02,,,
F0183,A,1.45,0.9699,2.0194,2.9893,2.1731,1/11/18,3/8/18,WS02,,,
F0184,A,1.6,1.2024,2.1448,3.3472,NA,1/11/18,3/8/18,WS02,,,
F0185,A,1.51,1.2864,3.6737,4.9601,4.2707,1/11/18,3/8/18,WS07,,,
F0186,A,1.56,1.0234,1.755,2.7784,1.9131,1/11/18,3/8/18,WS07,,,
F0187,A,1.51,0.9741,2.0118,2.9859,2.2969,1/11/18,3/8/18,WS07,,,
F0188,A,1.6,0.9584,1.7961,2.7545,1.9334,1/11/18,3/8/18,WS07,,,
