sample type,analyte,sample.day,sample.month,sample.year,sample.date,stream,stream.location,original.concentration.ugL,analysis.lab,convert.concentration.ugl
nutrients,NH4,5,6,2018,6/5/18,towr,seep,11.4,ESL,11.4
nutrients,NH4,5,6,2018,6/5/18,towr,flume,11.3,ESL,11.3
nutrients,NH4,5,6,2018,6/5/18,ws55,seep,12.8,ESL,12.8
nutrients,NH4,5,6,2018,6/5/18,ws55,flume,3.3,ESL,3.3
nutrients,NH4,5,6,2018,6/5/18,towr,upstream,9.2,ESL,9.2
nutrients,NO3,5,6,2018,6/5/18,towr,seep,8.251165477,ESL,8.25
nutrients,NO3,5,6,2018,6/5/18,towr,flume,13.42877181,ESL,13.43
nutrients,NO3,5,6,2018,6/5/18,ws55,seep,10.66463138,ESL,10.66
nutrients,NO3,5,6,2018,6/5/18,ws55,flume,13.92384174,ESL,13.92
nutrients,NO3,5,6,2018,6/5/18,towr,upstream,6.807211519,ESL,6.81
nutrients,SRP,5,6,2018,6/5/18,towr,seep,1.7,ESL,1.7
nutrients,SRP,5,6,2018,6/5/18,towr,flume,<1,ESL,1
nutrients,SRP,5,6,2018,6/5/18,ws55,seep,<1,ESL,1
nutrients,SRP,5,6,2018,6/5/18,ws55,flume,<1,ESL,1
nutrients,SRP,5,6,2018,6/5/18,towr,upstream,4.3,ESL,4.3
nutrients,TN,5,6,2018,6/5/18,towr,seep,1960,ESL,1960
nutrients,TN,5,6,2018,6/5/18,towr,flume,1970,ESL,1970
nutrients,TN,5,6,2018,6/5/18,ws55,seep,1920,ESL,1920
nutrients,TN,5,6,2018,6/5/18,ws55,flume,2030,ESL,2030
nutrients,TN,5,6,2018,6/5/18,towr,upstream,1860,ESL,1860
nutrients,TP,5,6,2018,6/5/18,towr,seep,43.3,ESL,43.3
nutrients,TP,5,6,2018,6/5/18,towr,flume,42.4,ESL,42.4
nutrients,TP,5,6,2018,6/5/18,ws55,seep,41.8,ESL,41.8
nutrients,TP,5,6,2018,6/5/18,ws55,flume,53.2,ESL,53.2
nutrients,TP,5,6,2018,6/5/18,towr,upstream,42.8,ESL,42.8
nutrients,NH4,19,6,2018,6/19/18,ws55,flume,10.4,ESL,10.4
